parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone,x,y
calbcr_falt,log,factor,1000.0,1e-06,1000.0,hfb,1.0,0.0,1,,,,,
citrusfieswp,log,factor,0.7,0.5,0.999,fieswp,1.0,0.0,1,,,,,
city_flt,log,factor,1000.0,1e-06,1000.0,hfb,1.0,0.0,1,,,,,
deciduousfieswp,log,factor,0.7,0.5,0.999,fieswp,1.0,0.0,1,,,,,
drn_k_i:101_j:10_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,10,9,6407618.744385961,1873468.0589865313
drn_k_i:101_j:17_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,17,9,6410840.511373045,1874835.6179362438
drn_k_i:101_j:24_zone:6,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,24,6,6414062.278360128,1876203.1768859562
drn_k_i:101_j:31_zone:6,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,31,6,6417284.045347212,1877570.7358356686
drn_k_i:101_j:38_zone:6,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,38,6,6420505.812334295,1878938.294785381
drn_k_i:101_j:3_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,3,9,6404396.977398878,1872100.500036819
drn_k_i:101_j:45_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,45,9,6423727.579321379,1880305.8537350935
drn_k_i:101_j:52_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,52,9,6426949.346308462,1881673.412684806
drn_k_i:101_j:59_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,59,9,6430171.113295547,1883040.9716345184
drn_k_i:101_j:66_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,66,9,6433392.88028263,1884408.530584231
drn_k_i:101_j:73_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,73,9,6436614.647269714,1885776.0895339435
drn_k_i:101_j:80_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,101,80,9,6439836.414256797,1887143.6484836559
drn_k_i:108_j:10_zone:9,log,factor,1200.0,10.0,10000.0,drn_k,1.0,0.0,1,108,10,9,6408986.303335674,1870246.2919994479
